InventoryID	LanguageCode	LanguageName	Phoneme	PhonemeOld	Allophones	AllophonesOld	Notes	NotesTwo
	apd	Arabe	tˤ	tˤ
	apd	Arabe	eː	eː			no short counterpart
	apd	Arabe	x	x			written as /χ/ in Chanard
	apd	Arabe	dˤ	dˤ
	apd	Arabe	oː	oː			no short counterpart
	apd	Arabe	a	a
	apd	Arabe	aː	aː
	apd	Arabe	ɣ	ɣ
	apd	Arabe	b	b
	apd	Arabe	d	d
	apd	Arabe	ɡ	ɡ
	apd	Arabe	f	f
	apd	Arabe	i	i
	apd	Arabe	iː	iː
	apd	Arabe	h	h
	apd	Arabe	k	k
	apd	Arabe	j	j
	apd	Arabe	m	m
	apd	Arabe	l	l
	apd	Arabe	n	n
	apd	Arabe	s	s
	apd	Arabe	r	r
	apd	Arabe	u	u
	apd	Arabe	uː	uː
	apd	Arabe	t	t
	apd	Arabe	w	w
	apd	Arabe	<v>	v			only in borrowed words	marginal phoneme
	apd	Arabe	z	z
	apd	Arabe	sˤ	sˤ
	apd	Arabe	ʃː	ʃː			apparently all consonants can be geminate
	apd	Arabe	zˤː	zˤː			apparently all consonants can be geminate
	apd	Arabe	ʕː	ʕː			apparently all consonants can be geminate
	apd	Arabe	ʔː	ʔː			apparently all consonants can be geminate
	apd	Arabe	d̠ʒː	ʤː			apparently all consonants can be geminate
	apd	Arabe	ħː	ħː			apparently all consonants can be geminate
	apd	Arabe	tˤː	tˤː			apparently all consonants can be geminate
	apd	Arabe	xː	xː			apparently all consonants can be geminate; written as /χ/ in Chanard
	apd	Arabe	dˤː	dˤː			apparently all consonants can be geminate
	apd	Arabe	ɣː	ɣː			apparently all consonants can be geminate
	apd	Arabe	bː	bː			apparently all consonants can be geminate
	apd	Arabe	dː	dː			apparently all consonants can be geminate
	apd	Arabe	ɡː	ɡː			apparently all consonants can be geminate
	apd	Arabe	fː	fː			apparently all consonants can be geminate
	apd	Arabe	hː	hː			apparently all consonants can be geminate
	apd	Arabe	kː	kː			apparently all consonants can be geminate
	apd	Arabe	jː	jː			apparently all consonants can be geminate
	apd	Arabe	mː	mː			apparently all consonants can be geminate
	apd	Arabe	lː	lː			apparently all consonants can be geminate
	apd	Arabe	nː	nː			apparently all consonants can be geminate
	apd	Arabe	sː	sː			apparently all consonants can be geminate
	apd	Arabe	rː	rː			apparently all consonants can be geminate
	apd	Arabe	tː	tː			apparently all consonants can be geminate
	apd	Arabe	wː	wː			apparently all consonants can be geminate
	apd	Arabe	vː	vː			apparently all consonants can be geminate; only in borrowed words	marginal phoneme
	apd	Arabe	zː	zː			apparently all consonants can be geminate
	apd	Arabe	sˤː	sˤː			apparently all consonants can be geminate

660	avu	Avokaya	˦	˦
	avu	Avokaya	˨	˨
	avu	Avokaya	ndz	nʣ
	avu	Avokaya	˧	˧
