InventoryID	LanguageCode	Glottocode	BibtexKey	Source
320	etu	ejag1239	Watters1981	upsid
321	eus	basq1248	Gavel1929	upsid
321	eus	basq1248	Ndiaye1970	upsid
322	eve	even1260	Novikova1960	upsid
323	ewe	ewee1241	Ladefoged1964	upsid
323	ewe	ewee1241	Stahlke1970	upsid
323	ewe	ewee1241	Berry1951	upsid
324	ewo	ewon1239	Abega1970	upsid
324	ewo	ewon1239	NnomoMbezele1982	upsid
324	ewo	ewon1239	Redden1979	upsid
325	eya	eyak1241	Krauss1965	upsid
326	faa	fasu1242	LoewekeMay1964	upsid
327	fia	nobi1240	Bell1968	upsid
327	fia	nobi1240	Bell1971	upsid
327	fia	nobi1240	Stevenson1957	upsid
328	fij	fiji1243	Dixon1988	upsid
329	fin	finn1318	Austerlitz1967	upsid
329	fin	finn1318	Hammarberg1974	upsid
329	fin	finn1318	Harms1964	upsid
329	fin	finn1318	Harms1966	upsid
329	fin	finn1318	Lehtinen1964	upsid
330	fmp	fefe1239	Hyman1972	upsid
331	fra	stan1290	Sten1963	upsid
332	fun	fuln1247	Lapenda1968	upsid
333	fvr	furr1244	Beaton1968	upsid
333	fvr	furr1244	TuckerTucker1966	upsid
334	fwa	fwai1237	Li1977	upsid
335	gaa	gaaa1244	Berry1951a	upsid
336	gaj	gads1258	FrantzFrantz1966	upsid
337	wrk	gara1261	Furby1974	upsid
338	gbp	gbay1287	MoninoRoulon1972	upsid
338	gbp	gbay1287	Samarin1966	upsid
339	gbr	gbag1258	HymanMagaji1970	upsid
340	gio	gela1261	He1983	upsid
340	gio	gela1261	He1981	upsid
341	gld	nana1257	Avrorin1968	upsid
342	gle	iris1253	Fhailigh1968	upsid
342	gle	iris1253	Sommerfelt1964	upsid
342	gle	iris1253	Brothers1905	upsid
343	dwr	gamo1244	Allan1976a	upsid
344	guc	wayu1243	Holmer1949	upsid
344	guc	wayu1243	Mansen1967	upsid
345	gug	para1311	GregoresSuarez1967	upsid
345	gug	para1311	Lunt1973	upsid
345	gug	para1311	Uldall1956	upsid
346	guh	guah1255	KondoKondo1967	upsid
347	gum	guam1248	BranksBranks1973	upsid
347	gum	guam1248	Caudmont1964	upsid
348	guq	ache1246	Susnik1974	upsid
349	gvn	kuku1273	Oates1964	upsid
349	gvn	kuku1273	OatesOates1964	upsid
349	gvn	kuku1273	Wurm1972a	upsid
350	hak	hakk1236	Hashimoto1973	upsid
351	hau	haus1257	Abraham1934	upsid
351	hau	haus1257	Abraham1959	upsid
351	hau	haus1257	Abraham1959a	upsid
351	hau	haus1257	BraunerAshiwajn1965	upsid
351	hau	haus1257	Greenberg1941	upsid
351	hau	haus1257	Hodge1947	upsid
351	hau	haus1257	HodgeUmaru1963	upsid
351	hau	haus1257	Kraft1963	upsid
351	hau	haus1257	KraftKirk-Greene1973	upsid
351	hau	haus1257	KraftKraft1973	upsid
351	hau	haus1257	Taylor1959	upsid
352	haw	hawa1245	PukuiElbert1965	upsid
352	haw	hawa1245	ElbertPukui1979	upsid
352	haw	hawa1245	Schutz1981	upsid
353	hdn	nort2938	Sapir1923	upsid
354	hin	hind1269	Kelkar1968	upsid
354	hin	hind1269	Ohala1983	upsid
354	hin	hind1269	Pinnow1953	upsid
354	hin	hind1269	Srivastava1969	upsid
354	hin	hind1269	VermeerSharma1966	upsid
355	hix	hixk1239	Derbyshire1985	upsid
356	hop	hopi1249	KluckhohnMacLeish1955	upsid
356	hop	hopi1249	Voegelin1956	upsid
356	hop	hopi1249	Whorf1946	upsid
357	hts	hadz1240	DempwolffND	upsid
357	hts	hadz1240	TuckerMpaayei1955	upsid
358	hun	hung1274	Banhidi_etal1965	upsid
358	hun	hung1274	Hall1938	upsid
358	hun	hung1274	Hall1944	upsid
358	hun	hung1274	Kalman1972	upsid
359	hup	hupa1239	Golla1970	upsid
359	hup	hupa1239	Woodward1964	upsid
360	hus	huas1242	LarsenPike1949	upsid
360	hus	huas1242	Ochoa-Peralta1984	upsid
361	huv	sanm1287	Stairs_etal1981	upsid
361	huv	sanm1287	Suarez1975	upsid
362	hye	nucl1235	Allen1950	upsid
363	iai	iaai1238	Haudricourt1971	upsid
363	iai	iaai1238	Ozanne-Rivierre1976	upsid
